,word,chinese
118,sequoia,n.美洲杉，红杉
119,evacuation,n.撤离
120,twig,n.嫩枝，小枝
121,juvenile,n.幼体；未成年人，少年
122,lapse,n.失误；失足
123,cashier,n.收银员，出纳员
124,twine,n.细绳
125,crater,n.火山口；坑
126,harmonic,adj.和声的；谐和的；音乐般的
127,rainfall,n.降雨；降雨量
128,subscribe,"v.订阅; 订购; 签署; 签名; 同意, 赞成; 认捐; 捐助"
129,dolphin,n.海豚
130,tenuous,adj.纤细的，稀薄的，脆弱的；（关系、想法、形势等）不确定的，不明朗的
131,marble,n.大理石；（用玻璃、石头等制成的）子弹
132,baffle,v.使困惑，使为难
133,solvent,n.溶剂
134,aviation,n.航空；航空业
135,renaissance,"n.再生; 复兴; [the R-](欧洲的)文艺复兴, 文艺复兴时期"
136,interval,n.间隔；中场休息
137,ethnology,n.民族学，文化人类学
138,gibe,n.嘲弄，讥笑
139,diplomat,n.外交官；有手腕的人
140,ranch,n.牧场
141,slick,adj.光滑的；熟练的；圆滑的，口齿伶俐的；精巧的，巧妙的
142,derivation,n.（词语）起源，出处，派生
143,vital,adj.至关重要的，生死攸关的，有活力的，充满生机的
144,nonverbal,adj.非语言的
145,ripe,adj.熟的；成熟的
146,moderate,adj.适度的；温和的；中等的
147,aria,n.独唱曲，咏叹调
148,gull,n.鸥，海鸥
149,allay,vt.减轻，减少
150,suburb,n.市郊，郊区
151,credentialism,n.文凭主义
152,muscular,adj.肌肉的，肌肉发达的，强健的，强壮的
153,acronym,n.首字母缩写词
154,pottery,n.陶器；陶器厂，制陶作坊；制陶工艺，陶器制造术
155,metallic,adj.金属般的；有金属味（或声音）的；金属制的；含金属的
156,spiny,adj.长满刺的，多刺的，带刺的；棘手的
157,humid,adj.湿的，潮湿的；湿润的
158,urban,adj.城市的，市内的
159,casualty,n.伤亡事故；伤亡（人员）
160,canopy,n.天篷；罩盖，遮篷；天蓬似的树阴
161,sneaker,n.鬼鬼祟祟的人，卑鄙者；运动鞋
162,concentrate,v.专心于，全神贯注；集中，聚集
163,playwright,n.剧作家
164,mar,vt.损坏，损毁
165,finalize,vt.使完成；把…最后定下来；定稿
166,utmost,adj.最大限度的
167,intact,adj.无损伤的，完整的
168,deception,n.骗局；诡计；欺骗，欺诈
169,lust,n.性欲；强烈的欲望
170,substantial,adj.大量的；相当程度的；重大的；实质的；基本上的，大体上的
171,newsprint,n.新闻纸
172,pesticide,n.杀虫剂，农药
173,deem,v.认为；视为；相信
174,cornerstone,n.墙角石，奠基石；基础
175,scurry,vi.急跑，疾行
176,crow,n.乌鸦
177,artifact,n.人工制品，手工艺品
178,subdue,v.制伏，征服；抑制，克制
179,urbanization,n.都市化
180,male,adj.雄的，公的；男性的
181,delirium,n.精神错乱，神志失常
182,magma,n.岩浆
183,crew,n.全体船员; 全体乘务人员; 全体机务人员; 一队(或一组)工作人员; 一群人
184,rush,v.（使）急速行进；仓促行事；猛攻；猛冲；急速流动，奔腾
185,bureaucracy,n.官僚制度；官僚作风
186,outermost,adj.最外边的；最远的
187,scarf,n.围巾，披巾，头巾
188,fungi,n.［fungus的复数］真菌
189,ammonia,n.氨，氨水
190,sewage,n.污水，污物
191,sore,"adj.疼痛的, 酸痛的; 痛心的; 恼火的, 愤慨的; 紧迫的, 极度的"
192,overseas,adj.外国的；海外的
193,tribal,adj.部落的，宗族的；种族的
194,feast,n.节日；盛宴，宴会
195,intelligence,"n.才智, 智力; 情报; 情报机构; 智能"
196,clan,n.家族，宗族，氏族；帮派
197,mint,n.薄荷，薄荷糖；铸币厂；大量的钱
198,scrutinize,v.仔细检查，细察
199,glue,n.胶；胶水
200,memo,n.备忘录
201,cable,n.缆绳，钢索；电缆；电报；有线传输系统
202,antibiotic,n.抗生素
203,formidable,adj.可怕的；令人敬畏的；难对付的
204,milieu,n.出身背景；社会环境
205,incursion,n.袭击，突然入侵；介入
206,rotational,adj.旋转的；轮流的
207,figure,n.身材，体形；轮廓；数字；图形，图表；人物，人士
208,pragmatic,adj.务实的，注重实效的，实用的
209,reciprocity,n.互惠，互助；互惠主义
210,afflict,vt.使苦恼，折磨
211,mandatory,adj.强制的，法定的，义务的
212,decent,"adj.得体的; 适当的; 体面的; 正派的; 过得去的, 尚可的, 还好的; 合乎地位的, 像样的"
213,spellbind,"vt.迷住, 使入迷; 用符咒迷惑"
214,discord,n.不一致；不和，纷争；（音调的）不和谐
215,overgraze,v.过度放牧
216,adhesive,n.胶合剂
217,deform,v.（使）变形
218,receptive,adj.（对…）接受得快的；善于接受的，能接纳的
219,excursion,n.远足；短途旅行
220,luster,n.光亮，光泽；荣耀
221,bump,n.撞击，碰撞；隆起，凸块；肿块
222,glaze,n.釉料；糖浆
223,rivalry,n.竞争；敌对
224,abut,v.邻接，毗邻
225,sloth,n.树懒；懒散，怠惰
226,filter,n.筛选，过滤；滤器
227,liberal,"adj.开明的; 不严格的, 自由的, 开放的; 自由主义的; 慷慨的; 人文的"
228,context,n.背景，环境；上下文，语境
229,superintendent,n.主管，负责人；指挥者，管理者；警长
230,wretch,n.不幸的人；恶棍，无赖
231,stunt,vt.阻碍生长；遏制
232,rub,n.擦，摩擦
233,deviant,adj.不正常的，越出常规的
234,situated,adj.坐落在…的；处于…境地的
235,trample,v.踩踏；践踏（尊严、权利等）
236,quantify,v.定量；量化
237,chagrin,n.懊恼，失望
238,zone,vt.将…划做特殊区域；分区，划分地带
239,abiding,adj.持久的，永久的
240,elapse,v.（时间）流逝
241,vegetative,adj.植物（性）的；有生长力的
242,laboratory,n.实验室，研究室
243,apprehend,vt.逮捕；领会，理解
244,irrigate,vt.灌溉；冲洗（伤口或身体部位）
245,metropolitan,adj.大城市的；大都会的；本土的
246,audition,n.旁听；试演
247,smelt,v.熔炼（金属）；smell的过去式和过去分词
248,alumnus,n.校友
249,productive,adj.多产的，高产的；富有成效的
250,dexterous,adj.惯用右手的；灵巧的，熟练的
251,naked,adj.裸露的，无遮盖的；直白的，露骨的，不加掩饰的
252,effluent,n.流出物，废水，污水
253,wither,v.（使）枯萎，凋谢；萎缩；（尤指渐渐）破灭，消失
254,descriptive,adj.描述性的，叙述的
255,hazard,n.危险；危害；风险
256,reign,n.君主统治时期；任期
257,yelp,v.尖叫
258,diffusion,n.散布，扩散；传播
259,disparate,adj.迥然不同的
260,multitude,n.众多，大量；群众，大批百姓
261,outlive,vt.比…长命，比…耐久
262,vegetarian,n.素食者
263,shrub,n.灌木
264,tribute,n.致敬，颂词；悼念；致哀；贡品，贡金
265,tornado,n.飓风，龙卷风
266,proprietor,n.所有者，业主
267,dissolve,v.溶解；解散；解除
268,diversion,n.转向，转移；偏离；绕行路线；消遣，娱乐
269,balcony,n.阳台；（剧院的）楼座
270,fort,n.要塞；堡垒；兵营，军营
271,dominant,adj.首要的，主导的，占优势的；显著的；（基因）显性的
272,grasshopper,n.蝗虫；蚱蜢；蚂蚱
273,medal,n.奖牌，奖章
274,glitter,vi.闪烁，闪耀
275,revolt,v.反叛，反抗；违抗；（使）厌恶，（使）反感
276,humidity,n.（空气）湿度；湿气；湿热
277,critique,n.批评，评论
278,silversmith,n.银匠；银器商人
279,indifference,n.冷漠，不关心
280,emigrate,v.移居，移民至国外
281,seal,"v.密封, 封住; 盖印; 封锁"
282,exotic,adj.外来的，来自异国的；奇异的
283,swirl,n.漩涡；螺旋形（物体）
284,quiver,v.轻微颤动，抖动；抽动，哆嗦
285,brochure,n.小册子，说明书
286,mismanage,vt.对…管理不当，处理不当
287,pursuit,n.追求；追赶；嗜好，消遣，娱乐
288,prime,"adj.首要的, 主要的; 最初的; 基本的; 最好的; 头等的, 第一流的; 青春的; 精力旺盛的; [数]素数的"
289,dismiss,v.不考虑，不理会；解雇；遣散；驳回，拒绝受理
290,mosquito,n.蚊子
291,deficit,n.不足额；赤字，逆差
292,decompose,v.腐烂；（使）分解
293,nurture,vt.养育，养护，培养；扶植，支持；滋长，助长
294,ordinal,adj.序数的；顺序的
295,genetic,adj.基因的，遗传（学）的
296,syrup,n.糖浆
297,scuba,n.水中呼吸器，水肺
298,submarine,n.潜水艇
299,applicable,"adj.适用的, 可应用的; 合适的"
300,portrait,"n.肖像, 画像; 描绘; 写照; 竖排格式"
301,advisory,adj.顾问的，咨询的；劝告的
302,shell,n.壳，外壳；贝壳；（房屋）框架；炮弹
303,debut,"n.(演员、运动员等的)首次登台, 初次亮相; (新事物的)问世"
304,seep,v.漏出，渗漏
305,compatible,adj.可共用的；兼容的；可共存的；关系好的，和睦相处的
306,concern,vt.涉及，关系到；使关心，使担忧
307,conjure,"v.念咒召唤; 使…变戏法般地出现(或消失); 变戏法, 变魔术"
308,beverage,n.饮料
309,monopoly,n.垄断；专营服务；垄断商品，专卖商品；独占，专利（品）
310,rancher,n.牧场主；大农场（或牧场）工人
311,feat,n.功绩，壮举
312,saddle,n.马鞍；（自行车的）车座
313,constrain,vt.束缚，限制
314,oratorio,n.清唱剧，宗教剧
315,practical,adj.实际的，实用的
316,stew,n.炖菜，煨的菜
317,fumigate,vt.烟熏，香薰（以灭虫或消毒）
318,offspring,n.子女，后代；幼崽；幼苗
319,solitary,adj.孤独的；单独的，独自的；单个的；唯一的，仅有的
320,plate,n.盘子；（金属）板条，板材；号码牌
321,stimulus,n.刺激（物），激励，促进因素
322,shed,vt.抛弃；摆脱；流出；散发；发出（光等）；脱落
323,sulfur,"n.硫, 硫磺"
324,mold,n.霉菌；模型
325,stuff,v.填满，塞满
326,reversible,adj.可逆的，可翻转的；正反两用的，可恢复原状的
327,impose,"v.推行, (强制)执行; 把…强加于; 迫使接受; 征(税); 利用, 占便宜; 欺骗; 施加影响"
328,tuition,n.（尤指大专院校或私立学校的）学费；讲授；教学；指导
329,nourishment,n.营养，滋养品，养料
330,perch,n.（鸟的）栖木，栖息处；高处；鲈鱼
331,compel,v.强迫，迫使
332,conductivity,n.传导性；传导率
333,ornament,n.装饰，装饰物
334,mural,n.壁画，壁饰
335,magnitude,n.巨大，广大； 重大，重要； 量级； （地震）级数；星等，星球的亮度
336,quash,vt.撤销，废止；镇压；平息
337,imprecise,adj.不精确的；不严密的
338,quasar,n.类星体
339,primal,adj.最初的；主要的，首要的
340,formula,"n.公式; 方程式; 准则, 法则; 方案; 配方; 配方奶; 惯用语句"
341,alchemist,n.炼金术士
342,lace,n.饰带，花边，缎带，鞋带
343,uppermost,adj.最高的，最上面的；最重要的
344,drill,v.钻（孔），打眼；训练
345,mortify,vt.使蒙受屈辱，使难堪
346,falcon,n.猎鹰，隼
347,aquatic,adj.水生的；水上的
348,scratch,v.划伤；挠；取消
349,stir,v.搅动，搅拌，搅和；煽动，挑起；稍稍活动
350,paraphrase,n.释义
351,prose,n.散文
352,insect,n.昆虫，虫
353,prohibit,v.禁止，阻止
354,spacecraft,n.航天器，宇宙飞船
355,rectify,v.矫正；纠正；改正
356,kerosene,n.煤油，火油
357,brand,n.品牌；类型；烙印
358,melodic,adj.旋律的，曲调的；音调优美的
359,skull,n.颅骨，头骨；脑袋；头脑
360,fervor,n.热情，热烈
361,ecology,n.生态；生态学
362,court,"n.法庭; 法院; 全体法官(审判员); 审判庭; 球场; 朝廷; 宫廷; 院子; 殷勤; 追求, 求婚"
363,disperse,v.（使）分散，散开；疏散，驱散；散布，传播
364,cartilage,n.软骨（组织）
365,visualize,v.想象，使形象化；构思
366,disrepute,n.坏名声，不光彩
367,commute,v.（乘公交车）上下班往返，经常往返；代偿；减刑
368,perceptual,adj.感知的，知觉的
369,overflow,v.溢出；挤满；扩展出界
370,concomitant,adj.伴随的
371,unaided,adj.未受协助的，独立的
372,reinforce,v.加强，加固；强化
373,multiple,adj.许多，多种多样的，多重的
374,despondent,adj.垂头丧气的，沮丧的
375,obsolete,adj.过时的；废弃的
376,vent,n.通风口；出口
377,haphazard,adj.偶然的，任意的；无计划的，无秩序的
378,critic,n.批评家，评论家
379,recycle,vt.回收利用，再应用
380,riddle,n.谜；谜语；难解之谜；粗筛
381,authorize,vt.授权；批准，许可
382,assert,v.明确肯定，断言；主张，坚持；坚持自己的主张
383,verifiable,adj.可证实的，可核实的
384,coexist,vi.共存
385,gentility,n.有教养，文雅
386,associate,v.联系，联想
387,refreshing,adj.使人耳目一新的；提神的，使人精神振作的
388,span,n.一段时间；全长，距离
389,pasture,n.牧场; 牧草; 放牧; 退休; 退休地
390,bias,n.偏见，偏心
391,curl,v.弄卷，卷曲，弯曲
392,ultimatum,n.最后通牒
393,uniformity,n.同样，一致；一致性
394,culpable,adj.有罪的；该谴责的，难辞其咎的
395,innate,adj.天生的，固有的；内在的，直觉的
396,glorify,v.吹捧，吹嘘；美化；颂扬，赞美
397,curtsy,n.屈膝礼
398,magnet,n.磁体，磁铁；有强大吸引力的人或物
399,orient,"v.(使)朝向; 给…定向; 以…为方向; 以…为目的, 重视; 使熟悉; 使适应"
400,drench,vt.使湿透
401,dazzling,adj.令人眼花缭乱的，耀眼的
402,telescope,"v.（使）叠套缩短, 精简"
403,meteorologist,n.气象学者
404,instrument,n.乐器；工具；仪器，器械
405,fauna,n.动物群
406,automatic,adj.自动的
407,embargo,n.禁止贸易令；禁运
408,haven,n.港口；庇护所，避难所；栖息处
409,penmanship,n.书法
410,amid,prep.在…中，被…围绕
411,imaginative,adj.富有想象力的；创新的
412,decipher,vt.破译
413,merchant,n.商人; 批发商; (尤指)外贸批发商; (某活动的)爱好者
414,utilize,v.利用；使用
415,continuum,n.统一体
416,sprinkle,v.撒，洒，喷
417,token,n.象征，表征，标志；代币；代金券，礼券
418,recession,n.（经济的）衰退，衰退时期，萧条时期；撤回，退回
419,symmetry,n.对称；相似；相等
420,downward,adv.向下，往下
421,crooked,adj.不诚实的；欺诈的；弯曲的
422,frenzy,n.狂暴，狂热，疯狂
423,propel,v.推进，推动；驱使；迫使
424,quote,v.引述，引用；报价
425,intervening,adj.介于中间的，发生于期间的
426,transport,n.运输，运输工具
427,microorganism,n.微生物
428,empress,n.女皇，皇后
429,radiation,n.辐射，放射
430,sunlit,adj.阳光照射的
431,lavish,vt.慷慨给予，滥用；浪费，挥霍
432,blast,n.爆炸；冲击波；强风；巨响，响声；严厉批评
433,sexism,n.性别歧视
434,debt,"n.债务, 欠款; 负债状态; 义务; 恩义"
435,dialect,n.方言
436,catalog,n.目录（＝catalogue）
437,merchandise,n.商品；货品
438,grain,n.谷物; 谷粒; 颗粒; 一点儿; 纹理; 晶粒
439,attire,n.穿着，服饰
440,banner,n.横幅；口号
441,setback,n.挫折，阻碍；倒退
442,maze,n.迷宫；复杂难懂的细节；困惑，迷惘
443,bison,n.美洲（或欧洲）野牛
444,alkali,n.碱
445,journal,n.杂志，期刊；日记
446,indigenous,adj.本地的，本土的；土产的；土著的
447,rustproof,adj.不锈的
448,cubism,n.立体派；立体主义
449,injurious,adj.侮辱的，诽谤的；造成伤害的，有害的
450,orbit,n.轨道，轨迹；势力范围
451,wit,n.智力; 头脑; 理解力; 风趣; 风趣的话语; 智者; 才子
452,scroll,n.卷轴；纸卷，画卷；名册
453,disrupt,vt.使中断；扰乱；使分裂，使瓦解
454,counteract,vt.消除；抵消
455,recreation,n.消遣，娱乐
456,melodious,adj.旋律优美的，悦耳的
457,meridian,n.子午线，经线
458,ellipse,n.椭圆，椭圆形
459,sedimentary,adj.沉积的，沉淀性的
460,assistance,n.帮助，援助
461,folkway,n.社会风俗
462,epidemic,"n.流行病; 流行, 传播; 流传, 盛行"
463,lope,vi.轻松地大步跑
464,descent,n.下落，下降，下坡路；血统，出身，家世
465,assemble,v.聚集，集合；装配
466,vivify,vt.赋予生气；使生动，使活跃
467,tangible,adj.可触摸的，可感知的；明确的，确凿的；有形的，实际的
468,staunch,adj.坚定的，忠诚的
469,muse,v.沉思，默想，冥想
470,furnish,vt.提供，供应；布置，为…配备家具
471,informant,n.提供消息或情报的人，线人；（为研究）提供资料的人；合作者
472,steady,adj.稳定的，稳固的，沉稳的；持续的，规则的
473,mount,"v.登上(山等); 骑上(马、车)等; 增加, 增长; 上升; 安装; 镶嵌; 裱贴; 开展; 举行"
474,oppressive,adj.压迫的，压制的；令人焦虑的
475,hue,n.颜色；色度，色调；信仰，观点；形式，样子
476,fabulous,adj.寓言式的；难以置信的；极好的
477,disconcert,vt.使惊慌，使不安；使困惑
478,feign,vt.装作，假装；伪造
479,tortuous,adj.折磨人的，令人痛苦的；曲折的，蜿蜒的；含混不清的，拐弯抹角的
480,pretension,n.自命不凡；虚荣；声称，标榜；要求，主张
481,swamp,n.沼泽地，湿地
482,cardinal,"adj.最重要的, 基本的, 鲜红的"
483,prudent,adj.谨慎的；精打细算的
484,aftermath,n.后果，余波
485,mound,n.土墩，土丘；堆，垛
486,eradicate,vt.根除，灭绝
487,succumb,vi.屈服，屈从；（因…）死亡
488,strip,n.（纸、布、食物等的）条，带；狭长区域
489,audit,vt.旁听；审计
490,authentic,adj.真正的，真实的；逼真的；可靠的
491,varnish,vt.上清漆
492,photodissociation,n.光解（作用）
493,landslide,n.山崩，塌方；压倒性胜利
494,naturalist,n.自然主义者；博物学家
495,fabric,n.结构；布料，织物
496,assimilate,v.透彻理解，吸收，消化；（使）同化
497,patron,n.赞助人，资助人；老主顾，常客
498,predator,n.捕食性动物，食肉动物；掠夺者，剥削者
499,miserable,adj.悲惨的，痛苦的，令人不快的
500,modeling,n.立体感；建模，造型
501,neuron,n.神经元，神经细胞
502,periodical,n.（学术）期刊
503,moss,n.苔藓；地衣
504,impetus,n.促进，推动；刺激；推动力
505,astute,adj.机敏的，精明的
506,notch,n.等级，档次；（边缘或表面的）圆形切口
507,symbol,n.象征，象征物；符号，标志
508,underscore,"v.强调, 在…下面划线"
509,prolonged,adj.长期的，持久的
510,practicable,adj.可行的
511,assent,n.同意，赞成
512,rancorous,adj.怨恨的，满怀恶意的
513,noted,"adj.著名的, 有声望的"
514,blade,n.刀刃，刀片；叶片；草叶；桨叶
515,synchronize,v.（使）同步，同时发生
516,postage,n.邮资，邮费
517,readability,n.可读性
518,superb,adj.极佳的；卓越的；质量极高的
519,confidant,n.知己，密友
520,wedge-shaped,adj.楔形的
521,relegate,vt.使贬职，使降级；放逐，贬谪
522,patriarch,n.家长，族长
523,capillary,n.毛细血管
524,triple,v.（使）增至三倍
525,precede,v.先于，（发生、走）在…前面
526,tract,"n.(连通身体组织或器官的)道, 束; 地带, 大片土地; 小册子"
527,impulse,n.冲动，心血来潮；脉冲；冲击；冲量；推动力；刺激
528,willow,n.柳树，柳木制品
529,flavor,n.风味，滋味；调味品
530,severe,adj.严重的，严峻的；剧烈的；严厉的，严格的
531,scavenger,n.捡破烂的人，拾荒者；食腐动物
532,compact,adj.小型的；袖珍的；紧凑的
533,inactivate,vt.使不活动，使不活跃
534,authority,"n.当局; 当权者(或机构); 专家; (学术)权威; 管辖权; (授予的)权, 权力; 威信, 影响力; 说服力"
535,rental,adj.租用的；出租（业）的
536,respond,v.回复；反应，响应；应对
537,opponent,n.对手，敌手；反对者
538,neon,n.氖；霓虹灯
539,explicit,adj.清楚明白的；易于理解的；明确的；直言的
540,lease,n.租约，租契，租期
541,deceitful,adj.欺诈的，惯于欺骗的，不诚实的
542,dupe,n.上当者
543,etiquette,n.礼节，礼仪
544,enslave,vt.奴役
545,delectable,adj.美味可口的；有吸引力的；令人喜爱的，赏心悦目的
546,irony,n.反话，讽刺，嘲弄；具有讽刺意味的事
547,distinguish,v.区别，辨别；（特质或特征）使有别于
548,cargo,n.（船或飞机装载的）货物
549,intermediate,adj.中级的；中间的
550,rectangle,n.长方形，矩形
551,wreck,vt.使失事；破坏（destroy）
552,respire,v.呼吸
553,infectious,adj.传染的，感染的；患传染病的；有传染力的；有感染力的
554,rekindle,vt.重新点燃；使振作
555,dissolute,adj.放荡的，放纵的，道德沦丧的
556,instinctual,adj.本能的
557,mountainous,adj.多山的；巨大的，山一般的
558,authoritative,adj.官方的；权威性的，可信的；专断的，命令式的
559,abolish,vt.废止，革除
560,beneficent,adj.有益的；行善的，慈善的
561,secrete,vt.分泌；藏匿，躲藏
562,suspend,v.推迟；暂停；取消；悬挂
563,incorporate,v.包含，把…包括在内；（使）合并，并入，吸纳；注册成立
564,tissue,n.(人、动植物细胞的)组织; 纸巾; 绵纸
565,hieroglyph,n.象形文字，象形符号
566,summit,n.最高点；顶点；山顶；首脑会议；峰会
567,equator,n.赤道
568,refrigerate,vt.冷冻，冷藏；使冷却，使变冷
569,enzyme,n.酶，酵素
570,tenet,n.原则；信条；教义
571,bulb,n.（植物的）鳞茎；鳞茎状物；灯泡
572,engulf,vt.吞没
573,daylight,n.日光；白昼
574,dispersal,n.疏散；散布，散开
575,sediment,n.沉淀物，沉积物
576,audio,adj.音频的；声音的
577,undertake,v.着手做，从事，承担； 承诺；保证
578,immutable,adj.不可改变的，永恒不变的
579,cavern,n.大洞穴，大山洞
580,predispose,v.使倾向于，使较可能（有某种行为或思想）；（使）易受感染（或患病）
581,sole,adj.唯一的，仅有的；独占的
582,breach,n.违背；破裂；缺口
583,ensconce,vt.使安顿，安置，使安坐
584,throng,n.一大群人
585,simplify,v.简化；使易懂；使简洁
586,sharply,adv.尖刻地，严厉地；急剧地；清楚地，明显地；敏锐地；时髦地
587,ratio,n.比；比率；[数]比例
588,squander,vt.浪费，挥霍（时间、金钱等）
589,sensual,adj.感觉的，感官的；肉欲的；耽于感官享受的
590,terminology,n.术语
591,tube,"n.管, 管子, 管状物, 道, 电视, 地铁"
592,havoc,n.混乱，大破坏
593,startling,adj.惊人的，令人吃惊的
594,chunk,n.厚片，大块；相当大的部分（或数量）；矮胖的人（或物）
595,fresco,n.湿壁画；湿壁画技法
596,twinkling,n.瞬间，一眨眼
597,stray,v.迷路，走失；偏离正题；走神
598,bestow,v.授予，献给
599,swing,v.摇摆；旋转；动摇；（使）突然转向，突然转身
600,inherent,adj.内在的，固有的
601,patent,n.专利权
602,applaud,v.拍手喝彩；称赞，赞赏
603,haul,v.（用力）拉，拖（重物）
604,elongate,v.延长，伸长
605,collaborative,adj.合作的，协作的
606,layout,n.布局，安排，设计
